
央视频道,#genre#
兵团卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001066/index.m3u8
厦门卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?fmmv6

教育频道,#genre#
中国教育1台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8
中国教育2台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001226/index.m3u8
中国教育4台,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001348/index.m3u8

北京频道,#genre#
北京纪实科教,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001329/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8

上海频道,#genre#
上海新闻综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001014/index.m3u8
上海都市,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001015/index.m3u8
上海ICS外语,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001128/index.m3u8
纪实人文,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001019/index.m3u8
生活时尚,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001199/index.m3u8
七彩戏剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001308/index.m3u8
第一财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001017/index.m3u8
上海教育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001268/index.m3u8
五星体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001018/index.m3u8
东方影视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001016/index.m3u8
东方财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001318/index.m3u8
欢笑剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001193/index.m3u8
法治天地,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001195/index.m3u8
乐游,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001200/index.m3u8
都市剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001203/index.m3u8
金色学堂,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001194/index.m3u8
哈哈炫动,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001232/index.m3u8
游戏风云,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001192/index.m3u8

浙江频道,#genre#
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,http://hw-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

海南频道,#genre#
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
海南文旅,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000322/index.m3u8?fmmv6
海南公共,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000382/index.m3u8?fmmv6
海南自贸,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000320/index.m3u8?fmmv6

湖南频道,#genre#
金鹰纪实,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001230/index.m3u8
金鹰卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001098/index.m3u8
茶友频道,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001234/index.m3u8
快乐垂钓,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001235/index.m3u8

广东频道,#genre#
嘉佳卡通,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001227/index.m3u8

求索系列,#genre#
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索记录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3

NewTV系列,#genre#
超级综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226009/1.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
武博世界,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw2554338791_49940138/ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8
中国功夫,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1934355864_2070028581/ott.mobaibox.com/PLTV/3/224/3221227530/index.m3u8
军旅剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw1807611386_-262631246/ott.mobaibox.com/PLTV/3/224/3221227603/index.m3u8
炫舞未来,http://[2409:8087:2001:20:2800:0:df6e:eb09]:80/wh7f454c46tw2582593423_1721070986/ott.mobaibox.com/PLTV/3/224/3221227475/index.m3u8
潮妈辣婆,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/wh7f454c46tw1705588260_46164741/ott.mobaibox.com/PLTV/3/224/3221227527/index.m3u8
精品体育,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw2797725038_-2054878207/ott.mobaibox.com/PLTV/3/224/3221227615/index.m3u8
精品纪录,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2837435881_530071425/ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
家庭剧场,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/wh7f454c46tw3441504651_1879058580/ott.mobaibox.com/PLTV/3/224/3221227600/index.m3u8
精品大剧,http://[2409:8087:2001:20:2800:0:df6e:eb1a]:80/wh7f454c46tw2817459161_-1430429466/ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8
军事评论,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw3373254713_-1111569189/ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
明星大片,http://[2409:8087:2001:20:2800:0:df6e:eb18]:80/wh7f454c46tw2856695654_946966165/ott.mobaibox.com/PLTV/3/224/3221227594/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8

其他频道,#genre#
家庭理财,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001278/index.m3u8
财富天下,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001219/index.m3u8
中国天气,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001102/index.m3u8

超清频道,#genre#
纯享超清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
虎牙直播【一起看】,#genre#
极限挑战4·07抢龙头大赛开始！,http://localhost:3000/api/live/analysis?roomId=11352914
【周星星】星爷经典不间断,http://localhost:3000/api/live/analysis?roomId=11342412
迷倒全球亿万影迷，历经20年经久不衰《加勒比海盗5》,http://localhost:3000/api/live/analysis?roomId=13303478
以旧换新电脑业务-电脑装机组装电脑组装,http://localhost:3000/api/live/analysis?roomId=520885
钢铁侠~白白胖胖的兔兔~,http://localhost:3000/api/live/analysis?roomId=396735
进来看甜妹,http://localhost:3000/api/live/analysis?roomId=20155
陪看【魔女】 好看爱看~,http://localhost:3000/api/live/analysis?roomId=126859
神话  成龙金喜善,http://localhost:3000/api/live/analysis?roomId=128391
游戏dd/微胖耐看妹妹,http://localhost:3000/api/live/analysis?roomId=10227
全世界最帅的小少爷,http://localhost:3000/api/live/analysis?roomId=23025
我不做大哥好多年，新人求订阅♥,http://localhost:3000/api/live/analysis?roomId=29477591
以德湖人,http://localhost:3000/api/live/analysis?roomId=631394
谁来劝劝潘子,http://localhost:3000/api/live/analysis?roomId=26508934
【纯御陪看】小李飞刀,大结局~江苏妹妹哦,http://localhost:3000/api/live/analysis?roomId=18700853
【直播】纯原品质天花板！,http://localhost:3000/api/live/analysis?roomId=19015514
晚上好,http://localhost:3000/api/live/analysis?roomId=913155
【纯御陪看】反贪~来看你的小可爱！,http://localhost:3000/api/live/analysis?roomId=396736
海妖的呼唤：火之岛生存战,http://localhost:3000/api/live/analysis?roomId=11602075
铁齿铜ya纪晓岚 经典铁三角组合,http://localhost:3000/api/live/analysis?roomId=11342396
tu槽大会 笑死人不偿命,http://localhost:3000/api/live/analysis?roomId=21059555
天不生我李淳罡，剑道万古如长夜,http://localhost:3000/api/live/analysis?roomId=11336592
大家好 我曾小咸又回来啦,http://localhost:3000/api/live/analysis?roomId=11336726
爆款han剧 夏季纳凉神剧来了！越可怕越恐怖越好看~,http://localhost:3000/api/live/analysis?roomId=11352869
鬼咬鬼 林正英  等一个守护,http://localhost:3000/api/live/analysis?roomId=610617
身世神秘的范闲书写人生传奇,http://localhost:3000/api/live/analysis?roomId=11352960
江湖情,http://localhost:3000/api/live/analysis?roomId=128356
【杭州唱见】等家长 9点竞技场推荐位,http://localhost:3000/api/live/analysis?roomId=28646244
曹操的爱好与尔等何异,http://localhost:3000/api/live/analysis?roomId=132752
陈翔六点半·更新到301集了,http://localhost:3000/api/live/analysis?roomId=11274154
纪晓岚戏耍和珅1，2，4部不看第三,http://localhost:3000/api/live/analysis?roomId=29254617
【鹿鼎记】小春版韦小宝 是你心中最经典的版本吗？,http://localhost:3000/api/live/analysis?roomId=23865080
【林正英】僵尸猛鬼电影,http://localhost:3000/api/live/analysis?roomId=25129377
神tan狄仁杰：破案还得是挂灵 如燕无头,http://localhost:3000/api/live/analysis?roomId=29414788
赵云冲我来了,http://localhost:3000/api/live/analysis?roomId=29318937
【超级交通站】抗ri情景喜剧,http://localhost:3000/api/live/analysis?roomId=11342433
小李飞，飞刀飞刀又见飞刀，#可点播,http://localhost:3000/api/live/analysis?roomId=618917
许三多军营成长史,http://localhost:3000/api/live/analysis?roomId=11342430
我发布了一个新视频，快来围观吧！,http://localhost:3000/api/live/analysis?roomId=16028551
雍正皇帝的风云一生,http://localhost:3000/api/live/analysis?roomId=11342439
【天龙八部】最佳版本天龙·97版黄日华超神作,http://localhost:3000/api/live/analysis?roomId=23903123
【林正英】恐怖僵尸鬼片,http://localhost:3000/api/live/analysis?roomId=25742076
夏雪夏雨夏冰雹,http://localhost:3000/api/live/analysis?roomId=11352872
电脑装机吃鸡直播永劫无间组装电脑装机CF,http://localhost:3000/api/live/analysis?roomId=16929106
三英战吕布,http://localhost:3000/api/live/analysis?roomId=29006988
甜妹陪看~大郎~该喝药了~,http://localhost:3000/api/live/analysis?roomId=128352
既生瑜何生亮,http://localhost:3000/api/live/analysis?roomId=26182091
水浒传：水战擒高俅,http://localhost:3000/api/live/analysis?roomId=28956438
打领主材料啦，冲鸭~,http://localhost:3000/api/live/analysis?roomId=26746074
滚滚长江东逝水,http://localhost:3000/api/live/analysis?roomId=11352944
一个以为不会走一个以为会挽留,http://localhost:3000/api/live/analysis?roomId=396729
鬼片专场 速来~,http://localhost:3000/api/live/analysis?roomId=23796393
全新电脑组装电脑装机,http://localhost:3000/api/live/analysis?roomId=28947271
相识、相知、相爱、相守的父母爱情,http://localhost:3000/api/live/analysis?roomId=11602071
换碟啦，恐怖来袭你怕吗？？,http://localhost:3000/api/live/analysis?roomId=29393578
新主播需要你守护,http://localhost:3000/api/live/analysis?roomId=29424437
那些年前的经典电影？,http://localhost:3000/api/live/analysis?roomId=26989248
海绵宝宝宝的直播间,http://localhost:3000/api/live/analysis?roomId=11352919
龙men·舌尖上的镖局,http://localhost:3000/api/live/analysis?roomId=11352874
想要千元榜~,http://localhost:3000/api/live/analysis?roomId=29341400
康熙大帝的传奇一生,http://localhost:3000/api/live/analysis?roomId=11352940
喜剧搞笑片,http://localhost:3000/api/live/analysis?roomId=25098954
英叔护体 | 林正英搞笑僵尸系列,http://localhost:3000/api/live/analysis?roomId=11342421
哔哔哔~ biubiubiu~,http://localhost:3000/api/live/analysis?roomId=13323701
龙珠超重置：龙珠超然战斗26,http://localhost:3000/api/live/analysis?roomId=10279885
 胆小勿进  僵尸恐怖电影,http://localhost:3000/api/live/analysis?roomId=27717388
搞笑的一家人,http://localhost:3000/api/live/analysis?roomId=11342402
新水hu·在下正是西公子！,http://localhost:3000/api/live/analysis?roomId=11342384
【邻li一家亲】满院白眼狼,http://localhost:3000/api/live/analysis?roomId=11342426
快来追！yang光的快乐生活,http://localhost:3000/api/live/analysis?roomId=11602085
【虎牙影院】沈腾经典片放映,http://localhost:3000/api/live/analysis?roomId=11601968
东成西就,http://localhost:3000/api/live/analysis?roomId=132753
【缅怀最经典张飞】桃园结义三兄弟,http://localhost:3000/api/live/analysis?roomId=11602081
钱子豪 七日重生 僵尸,http://localhost:3000/api/live/analysis?roomId=28992521
你怎么看待六子哥,http://localhost:3000/api/live/analysis?roomId=11602086
古典美女贾静雯,http://localhost:3000/api/live/analysis?roomId=23564289
无间道   重生之少奶奶的金手指,http://localhost:3000/api/live/analysis?roomId=29401081
阴阳路~~~进来护体,http://localhost:3000/api/live/analysis?roomId=26298751
康熙·民间私访,http://localhost:3000/api/live/analysis?roomId=11342418
胡八一胖子沙漠古城找鬼洞,http://localhost:3000/api/live/analysis?roomId=11352871
 郭德纲于谦无唱相声,http://localhost:3000/api/live/analysis?roomId=12359302
小李飞刀  有情有义 李寻欢,http://localhost:3000/api/live/analysis?roomId=29451869
李连杰系列 武打高产王,http://localhost:3000/api/live/analysis?roomId=11342390
大秦，终章！,http://localhost:3000/api/live/analysis?roomId=11352881
【龙珠Z】全灭结局？！魔人布欧的恐怖！——魔人布欧篇06,http://localhost:3000/api/live/analysis?roomId=17269326
搞笑喜剧场~进来看吧！,http://localhost:3000/api/live/analysis?roomId=17672764
武林之同福客栈动画版,http://localhost:3000/api/live/analysis?roomId=25749066
狄仁杰：元芳 你怎么看？	,http://localhost:3000/api/live/analysis?roomId=11352958
 看孙悟空唐三藏取西经,http://localhost:3000/api/live/analysis?roomId=23735126
六大门派围攻光明顶·马甲掉了,http://localhost:3000/api/live/analysis?roomId=11342403
兴森一家+嗯哼哥 轮播《已更新》,http://localhost:3000/api/live/analysis?roomId=24692390
上新特价 全网对比 优惠装机组装电脑组装,http://localhost:3000/api/live/analysis?roomId=295725
一个学废了的野厨子【已更新】,http://localhost:3000/api/live/analysis?roomId=24782284
投喂电子宠物了,http://localhost:3000/api/live/analysis?roomId=25646817
欢迎来到漫威宇宙+（DC宇宙隐藏片单）,http://localhost:3000/api/live/analysis?roomId=29209591
【接ios】甜甜的沙漠少女带粉。老板上车,http://localhost:3000/api/live/analysis?roomId=28040388
武林 同福客栈24小时,http://localhost:3000/api/live/analysis?roomId=10980725
成龙经典武打动作片,http://localhost:3000/api/live/analysis?roomId=11342386
【刑事侦缉档案】最棒的警匪片系列,http://localhost:3000/api/live/analysis?roomId=23734169
云长，我不能走啊,http://localhost:3000/api/live/analysis?roomId=18671151
742-746,http://localhost:3000/api/live/analysis?roomId=16913382
洪金宝·童年回忆杀,http://localhost:3000/api/live/analysis?roomId=11279251
神tan狄仁杰·破案还得是他,http://localhost:3000/api/live/analysis?roomId=11342425
yi馆笑传 oh天长地久,http://localhost:3000/api/live/analysis?roomId=11352891
成龍历险记·社会我阿福乌鸦坐飞机	,http://localhost:3000/api/live/analysis?roomId=11352946
睡不着？一起看鬼片？,http://localhost:3000/api/live/analysis?roomId=19383295
芈月和她的三个爱人,http://localhost:3000/api/live/analysis?roomId=11352975
炊事班de故事3·柴米油盐,http://localhost:3000/api/live/analysis?roomId=19524135
【黑帮大片】山鸡哥重现江湖	,http://localhost:3000/api/live/analysis?roomId=11336719
网球王子·费德勒看了想打人	,http://localhost:3000/api/live/analysis?roomId=11352882
周星驰林正英刘德华经典不变,http://localhost:3000/api/live/analysis?roomId=29510860
【法证先锋】侦查片天花板 超经典,http://localhost:3000/api/live/analysis?roomId=23863804
刘德华电影_经典系列,http://localhost:3000/api/live/analysis?roomId=11342424
电影最TOP 127: 有一种电影，叫银河映像（独家全盘点）,http://localhost:3000/api/live/analysis?roomId=11774959
嘴叔生吃鲱鱼罐头,http://localhost:3000/api/live/analysis?roomId=25320275
【王晶】港风导演代表,http://localhost:3000/api/live/analysis?roomId=11602058
西红柿首付姐姐陪你看电影~,http://localhost:3000/api/live/analysis?roomId=29472955
奇幻电影《屠魔战士》,http://localhost:3000/api/live/analysis?roomId=15152155
荒野独居第2季|P9：戴夫螃蟹大丰收，拉里食物种类多,http://localhost:3000/api/live/analysis?roomId=24720260
葛二蛋成长之路,http://localhost:3000/api/live/analysis?roomId=11602072
局中局、案中案，不到最后猜不到结局，悬疑片《尼罗河上的惨案》,http://localhost:3000/api/live/analysis?roomId=19863777
